name,pen y ghent-time,pen y ghent-position,ribblehead-time,ribblehead-position,whernside-time,whernside-position,hill inn-time,hill inn-position,ingleborough-time,ingleborough-position,finish-time,finish-position
Ben Rothery,00:29:12,2,01:18:48,4.0,01:47:51,2.0,02:04:51,1.0,02:32:02,1.0,03:00:00,1.0
Clovis Chaverot,00:29:27,5,01:18:10,2.0,01:48:37,3.0,02:06:18,2.0,02:35:20,2.0,03:07:32,2.0
Alistair Brownlee,00:28:44,1,01:18:04,1.0,01:46:55,1.0,02:07:21,3.0,02:35:23,3.0,03:08:00,3.0
Noel Yannick,00:29:35,6,01:20:23,7.0,01:51:51,5.0,02:10:41,5.0,02:38:55,4.0,03:08:37,4.0
Linton Taylor,00:29:43,7,01:20:18,6.0,01:52:49,7.0,02:11:08,6.0,02:41:32,5.0,03:11:44,5.0
Brennan Townshend,00:29:13,3,01:18:50,5.0,01:50:11,4.0,02:09:41,4.0,02:41:52,6.0,03:16:21,6.0
Henry Ruddell,00:30:54,10,01:23:12,9.0,01:55:22,8.0,02:13:56,8.0,02:44:52,7.0,03:16:37,7.0
Ricky Lightfoot,00:30:45,9,01:23:46,11.0,01:56:53,9.0,02:16:47,9.0,02:48:05,8.0,03:21:40,8.0
Timothy Johnston,00:34:08,48,01:30:27,33.0,02:05:08,24.0,02:23:58,22.0,02:54:36,13.0,03:25:24,9.0
Will Barton,00:31:40,18,01:25:57,16.0,02:00:02,11.0,02:20:05,11.0,02:53:19,10.0,03:26:23,10.0
Oliver Shaw,00:33:52,41,01:30:27,33.0,02:03:20,17.0,02:22:49,16.0,02:54:00,11.0,03:26:37,11.0
Gregor Malcolm,00:30:34,8,01:23:18,10.0,01:57:30,10.0,02:18:11,10.0,02:51:24,9.0,03:28:04,12.0
Richard Anderson,00:31:54,21,01:26:35,17.0,02:00:55,13.0,02:21:37,14.0,02:54:10,12.0,03:28:17,13.0
Rob Brown,00:33:38,37,01:30:04,29.0,02:05:17,26.0,02:24:53,23.0,02:57:11,17.0,03:29:31,14.0
Ben Coop,00:31:52,20,01:26:35,17.0,02:01:26,15.0,02:20:35,12.0,02:54:53,14.0,03:29:50,15.0
Felix Watts,00:31:48,19,01:30:03,28.0,02:05:13,25.0,02:25:20,25.0,02:57:15,18.0,03:30:10,16.0
Robert Barnby,00:31:08,14,01:24:48,13.0,02:00:42,12.0,02:20:46,13.0,02:56:40,15.0,03:30:50,17.0
Dominic Jones,00:32:42,27,01:28:46,23.0,02:03:38,19.0,02:23:07,17.0,02:57:53,19.0,03:31:57,18.0
